date,open,high,low,close,adj close,volume
2017-02-27,3.0,3.0999999046325684,3.0,3.0499999523162837,3.0499999523162837,89600
2017-02-28,3.0,3.109999895095825,3.0,3.0499999523162837,3.0499999523162837,95900
2017-03-01,3.0499999523162837,3.0999999046325684,3.0,3.0,3.0,129000
2017-03-02,3.0,3.0999999046325684,3.0,3.0999999046325684,3.0999999046325684,148000
2017-03-03,3.0999999046325684,3.2999999523162837,3.0,3.0,3.0,137000
2017-03-06,3.0,3.0999999046325684,2.900000095367432,3.0499999523162837,3.0499999523162837,113700
2017-03-07,3.2000000476837163,3.2999999523162837,3.0,3.0999999046325684,3.0999999046325684,208500
2017-03-08,3.2000000476837163,3.2000000476837163,3.0499999523162837,3.0999999046325684,3.0999999046325684,73900
2017-03-09,3.2000000476837163,3.2000000476837163,3.0999999046325684,3.0999999046325684,3.0999999046325684,108100
2017-03-10,3.0999999046325684,3.150000095367432,3.0,3.0499999523162837,3.0499999523162837,176800
2017-03-13,3.0499999523162837,3.150000095367432,2.9500000476837163,3.0,3.0,138500
2017-03-14,3.0499999523162837,3.0499999523162837,2.8499999046325684,2.900000095367432,2.900000095367432,208500
2017-03-15,2.900000095367432,3.0,2.8499999046325684,3.0,3.0,81100
2017-03-16,3.0499999523162837,3.0999999046325684,2.9500000476837163,2.9500000476837163,2.9500000476837163,97900
2017-03-17,2.9500000476837163,3.0,2.9500000476837163,3.0,3.0,59000
2017-03-20,3.0499999523162837,3.0499999523162837,2.880000114440918,2.900000095367432,2.900000095367432,184100
2017-03-21,2.9500000476837163,2.990000009536743,2.650000095367432,2.799999952316284,2.799999952316284,233900
2017-03-22,2.75,2.900000095367432,2.700000047683716,2.700000047683716,2.700000047683716,194300
2017-03-23,2.799999952316284,2.8299999237060547,2.700000047683716,2.75,2.75,76000
2017-03-24,2.75,2.9500000476837163,2.75,2.900000095367432,2.900000095367432,95800
2017-03-27,2.900000095367432,3.0499999523162837,2.859999895095825,3.0,3.0,184400
2017-03-28,3.0,3.0499999523162837,2.9500000476837163,2.9500000476837163,2.9500000476837163,137400
2017-03-29,3.0,3.0499999523162837,2.8499999046325684,2.900000095367432,2.900000095367432,201800
2017-03-30,3.2000000476837163,3.25,2.9500000476837163,3.0499999523162837,3.0499999523162837,544400
2017-03-31,3.0499999523162837,3.150000095367432,2.9500000476837163,3.0,3.0,348700
2017-04-03,3.0,3.150000095367432,2.9500000476837163,3.0,3.0,229900
2017-04-04,3.0999999046325684,3.0999999046325684,3.0,3.0499999523162837,3.0499999523162837,118300
2017-04-05,3.0999999046325684,3.0999999046325684,2.9500000476837163,2.9500000476837163,2.9500000476837163,130400
2017-04-06,2.9500000476837163,3.0,2.900000095367432,2.900000095367432,2.900000095367432,124100
2017-04-07,2.9500000476837163,2.9500000476837163,2.900000095367432,2.9500000476837163,2.9500000476837163,118000
2017-04-10,3.0,3.0499999523162837,2.900000095367432,2.9500000476837163,2.9500000476837163,200400
2017-04-11,2.900000095367432,3.0,2.900000095367432,3.0,3.0,124700
2017-04-12,3.0,3.039999961853028,2.900000095367432,2.9500000476837163,2.9500000476837163,123300
2017-04-13,3.0,3.0499999523162837,2.9500000476837163,2.9800000190734863,2.9800000190734863,161100
2017-04-17,3.0,3.0,2.900000095367432,3.0,3.0,163100
2017-04-18,2.9500000476837163,3.0,2.75,2.799999952316284,2.799999952316284,335600
